State/Region/County,15-Sep,14-Sep
Los Angeles Metro Area,438120,413730
S.F. Bay Area,796470,719450
Alameda,739580,652610
Contra-Costa,784000,742370
Marin,1043270,1151040
Napa,659480,633930
San Francisco,1189520,1066860
San Mateo,1200000,1075000
Santa Clara,955000,850000
Solano,362500,328040
Sonoma,562070,496400
Los Angeles,517750,486030
Orange,707700,696190
Riverside,329200,316500
San Bernardino,229890,212790
San Diego,539340,519420
Ventura,599710,589080
Monterey,480000,451000
San Luis Obispo,536250,480640
Santa Barbara,724140,778230
Santa Cruz,755000,670000
Fresno,215970,208210
Glenn,225000,147500
Kern (Bakersfield),212000,215000
Kings,197500,183330
Madera,216670,207500
Merced,210710,159500
Placer,392820,384850
Sacramento,289760,276960
San Benito,466000,424000
San Joaquin,294060,265400
Stanislaus,253500,230000
Tulare,190370,175000
Amador,233330,225000
Butte,247320,235710
Calaveras,260290,233330
Del Norte,216670,140000
El Dorado,399270,364650
Humboldt,268480,246050
Lake,216180,180000
Mariposa,237500,250000
Mendocino,341180,307690
Nevada,350000,306250
Plumas,258330,259380
Shasta,235940,222550
Siskiyou,178330,155000
Sutter,230000,206820
Tehama,188890,170000
Tuolumne,248440,215910
Yolo,413410,344230
Yuba,225000,219440
